Product,Condition
Money_Pot,scores['Caution'] > 2.8 and scores['Analytical'] > 3.0
Credit_Card,scores['Caution'] > 3.2 and scores['Analytical'] > 3.0 and scores['Adventurous'] > 3.7 or scores['Impulsive'] > 3.5 and scores['Analytical'] > 3.5 and scores['Adventurous'] > 4.5
Investment,scores['Caution'] > 3.3 and scores['Analytical'] > 3.47 and scores['Adventurous'] > 3.7 and scores['Conservative'] > 2.7 or scores['Analytical'] > 3.47 and scores['Adventurous'] > 4.8
CashLoans,scores['Caution'] > 3.0 and scores['Convenience'] < 3.0 and scores['Impulsive'] < 3.0
